cache_state,choice_count,classification,corrected_to_legacy_ratio,endpoint_id,input_tokens,invalidity_reasons,legacy_sse_chunk_span_output_tps_proxy,legacy_sse_chunk_span_seconds,output_tokens,post_ttft_output_tps_proxy,request_id,request_seconds,source_kind,sse_content_event_count,stream_mode,streamed_ttft_seconds,trimmed_or_winsorized,workload
not_reported_unknown,1,invalid_or_censored,,deepseek-v4-flash-0731,16,post_ttft_interval_below_100ms_unstable_rate,147.0351119499761,0.034005483001237735,5,,do-cell-3a439bd04c2325c16935,0.7970088250003755,direct_breadth,4,streamed,0.7050319560221396,False,short_exact
not_reported_unknown,1,valid_ordinary,0.8342486774132212,deepseek-v4-flash-0731,317,,101.21099579114264,0.12844454200239852,13,84.43513937843584,do-cell-7a7063f7bc44b4bcc422,0.8222312110010535,direct_breadth,12,streamed,0.6682668770081364,False,long_context_retrieval
not_reported_unknown,1,valid_ordinary,0.9212511241986405,glm-5.2,256,,244.34772590325503,0.2332741169957444,57,225.10561718375496,do-cell-65bd2e3ccc8c0a874b05,0.9539101770205889,direct_breadth,14,streamed,0.7006957050180063,False,tool_call_exact
not_reported_unknown,1,valid_ordinary,0.9842442311585331,glm-5.2,259,,227.5450487213432,0.31642085997737013,72,223.9599015326694,do-cell-2e04b7f7fe54406ac646,0.9791832930059172,direct_breadth,17,streamed,0.657697172020562,False,tool_call_exact
not_reported_unknown,1,valid_ordinary,0.7199416604853364,gemma-4-31B-it,26,,38.887452156985326,0.2057218860136345,8,27.99669687794409,do-cell-b3453f4d48b3ae45667d,1.0810262610029895,direct_breadth,7,streamed,0.7952782659849618,False,short_exact
not_reported_unknown,1,valid_ordinary,0.8993516915100666,gemma-4-31B-it,363,,31.36820382226766,0.478191230999073,15,28.211047167188955,do-cell-cb417f18e84d7b69094d,1.3098383469914552,direct_breadth,14,streamed,0.7781317459885031,False,long_context_retrieval
not_reported_unknown,1,valid_ordinary,0.9550008373606156,mimo-v2.5-pro,619,,33.500132927713636,0.8358175790053792,28,31.992654997658452,do-cell-6e2c9c284e8890d30907,1.6670529769908171,direct_breadth,28,streamed,0.791852090973407,False,tool_call_exact
not_reported_unknown,1,valid_ordinary,0.9606773312999314,deepseek-v4-flash-0731,42,,87.41805686108124,0.48044993801158853,42,83.98054557272918,do-cell-2c34a79185d1c345f6e3,0.8902162360027432,direct_breadth,41,streamed,0.390100409014849,False,reasoning
not_reported_unknown,1,valid_ordinary,0.9576600918300158,glm-5.2,24,,195.43603967862938,1.074520341004245,210,187.16129570553082,do-cell-efe135068495b113438f,1.7819370770012029,direct_breadth,68,streamed,0.6599102219915949,False,short_exact
not_reported_unknown,1,valid_ordinary,0.9306336515652329,nemotron-3-ultra-550b,30,,68.64658729445503,0.8886093599721789,61,63.88482420133021,do-cell-789748a78258c6935e6b,1.8282458799949382,direct_breadth,59,streamed,0.8734025230223779,False,short_exact
